#Résultats bruts de l'abondance de mutation du gène TP53 selon la feature specificDxAtAcquisition_MDSMPN, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.006101 avec le test Mann-Whitney U
 Abundance   TotalKmers  NormalizedExpression specificDxAtAcquisition_MDSMPN
252.310345 6.255084e+09             40.336841                          False
310.103448 9.119252e+09             34.005361                          False
 97.586207 8.098345e+09             12.050142                          False
264.724138 8.331447e+09             31.774088                          False
211.034483 8.919518e+09             23.659852                          False
 17.103448 9.118767e+09              1.875632                          False
109.689655 7.110504e+09             15.426425                          False
 38.103448 6.835010e+09              5.574747                          False
 15.827586 9.386605e+09              1.686189                          False
113.310345 8.448480e+09             13.411921                          False
219.413793 8.755899e+09             25.058968                          False
 42.379310 8.752928e+09              4.841730                          False
326.310345 8.579029e+09             38.035813                          False
306.068966 6.882652e+09             44.469629                          False
223.068966 7.311618e+09             30.508839                          False
 51.827586 4.804985e+09             10.786212                          False
 25.931034 7.799221e+09              3.324824                          False
261.448276 9.061745e+09             28.851869                          False
 19.068966 6.623609e+09              2.878939                          False
246.551724 7.153630e+09             34.465263                          False
308.172414 7.211399e+09             42.734067                          False
107.965517 6.033548e+09             17.894199                          False
162.344828 6.588789e+09             24.639556                          False
281.172414 8.854002e+09             31.756535                          False
213.000000 8.485386e+09             25.101980                          False
 19.068966 5.380352e+09              3.544185                          False
173.758621 7.200585e+09             24.131182                          False
157.137931 5.917689e+09             26.553936                          False
159.862069 8.694402e+09             18.386781                          False
231.551724 6.436533e+09             35.974601                          False
127.413793 9.990793e+09             12.753121                          False
206.379310 7.345157e+09             28.097331                          False
 23.517241 9.875195e+09              2.381446                          False
 75.275862 6.740566e+09             11.167587                          False
218.310345 6.145850e+09             35.521590                          False
 49.172414 5.903974e+09              8.328697                          False
352.689655 1.152272e+10             30.608200                          False
 33.448276 8.909130e+09              3.754382                          False
122.206897 1.291642e+10              9.461361                          False
292.172414 7.223086e+09             40.449802                          False
336.241379 8.901559e+09             37.773314                          False
 27.620690 5.220229e+09              5.291087                          False
 70.862069 4.942945e+09             14.336002                          False
353.931034 7.477301e+09             47.334063                          False
 56.965517 7.894510e+09              7.215840                          False
209.034483 8.134305e+09             25.697890                          False
107.068966 8.812082e+09             12.150246                          False
 17.103448 8.128816e+09              2.104052                          False
106.275862 8.091267e+09             13.134638                          False
125.758621 8.074296e+09             15.575180                          False
 71.793103 9.872869e+09              7.271757                          False
 39.896552 5.990351e+09              6.660136                          False
262.172414 7.137203e+09             36.733218                          False
 20.310345 8.150876e+09              2.491799                          False
288.965517 7.873301e+09             36.701952                          False
211.931034 7.843750e+09             27.019095                          False
334.413793 8.821732e+09             37.907952                          False
230.620690 8.850037e+09             26.058725                          False
236.620690 5.458739e+09             43.347135                          False
 78.965517 6.930774e+09             11.393464                          False
 35.275862 7.520287e+09              4.690760                          False
385.931034 7.348317e+09             52.519652                          False
 54.965517 6.346827e+09              8.660314                          False
367.344828 6.065940e+09             60.558600                          False
 33.137931 8.188510e+09              4.046882                          False
 16.862069 5.385557e+09              3.130980                          False
280.517241 9.656104e+09             29.050770                           True
111.862069 1.124931e+10              9.943904                          False
159.758621 6.065394e+09             26.339364                          False
169.000000 8.097573e+09             20.870452                          False
 56.655172 6.529792e+09              8.676413                          False
 59.172414 6.093656e+09              9.710495                          False
 31.000000 6.449494e+09              4.806579                          False
226.448276 7.548975e+09             29.997220                          False
366.931034 9.114826e+09             40.256505                          False
 19.034483 8.305371e+09              2.291828                          False
 76.965517 7.888831e+09              9.756264                          False
158.310345 9.253249e+09             17.108623                          False
135.482759 8.542809e+09             15.859275                          False
 82.620690 7.050319e+09             11.718717                          False
256.379310 9.771467e+09             26.237546                          False
 55.586207 8.851492e+09              6.279869                          False
314.379310 8.605161e+09             36.533808                          False
267.758621 8.514264e+09             31.448239                          False
417.517241 9.216849e+09             45.299348                          False
340.862069 9.259345e+09             36.812763                          False
304.172414 9.138029e+09             33.286435                          False
 91.034483 8.764152e+09             10.387141                          False
 47.172414 9.478135e+09              4.976972                          False
 70.172414 9.603534e+09              7.306937                          False
 19.241379 9.208330e+09              2.089562                          False
241.517241 8.980720e+09             26.892859                          False
 24.586207 8.484674e+09              2.897720                           True
215.000000 6.886081e+09             31.222403                          False
433.965517 1.293085e+10             33.560489                          False
 13.896552 7.646813e+09              1.817300                          False
240.931034 1.089831e+10             22.107194                          False
456.241379 7.536666e+09             60.536236                          False
 97.344828 8.865050e+09             10.980742                          False
607.000000 1.352301e+10             44.886446                          False
407.206897 8.903126e+09             45.737519                          False
124.379310 1.240522e+10             10.026369                          False
126.517241 9.686832e+09             13.060745                          False
367.379310 7.679781e+09             47.837211                          False
267.310345 1.143178e+10             23.383087                          False
 40.620690 9.003873e+09              4.511468                          False
433.965517 9.072297e+09             47.834141                          False
 27.724138 9.216000e+09              3.008261                          False
119.068966 9.270890e+09             12.843315                          False
 72.620690 9.273773e+09              7.830760                          False
