#Boxplots d'expressions du gène STAG2 en fonction des types de mutations
#Résultat du test statistique ANOVA : F = 4.155, p-value = 0.002
#Tableau des résultats :
ID_sample TypeMutation  ExpressionGene
   BA3411       NonMut        5.233574
   BA3133       NonMut        7.531975
   BA3164       NonMut        7.147647
   BA3451       NonMut        6.907540
   BA3286       NonMut        7.087412
   BA3212       NonMut        7.150786
   BA3103       NonMut        7.366237
   BA3271       NonMut        7.057960
   BA3152       NonMut        7.096413
   BA3095       NonMut        6.823091
   BA3192       NonMut        6.807281
   BA3251       NonMut        6.371702
   BA3362       NonMut        6.932925
   BA3400       NonMut        6.913954
   BA3135       NonMut        6.668369
   BA3408       NonMut        7.161327
   BA3187       NonMut        6.999254
   BA3098       NonMut        7.255277
   BA3435       NonMut        7.283511
   BA3261       NonMut        7.250913
   BA3203       NonMut        6.519708
   BA3174       NonMut        7.213008
   BA3317       NonMut        7.393491
   BA3299       NonMut        6.916655
   BA3221       NonMut        6.872750
   BA3347       NonMut        6.799312
   BA3235       NonMut        6.788025
   BA3380       NonMut        6.306953
   BA3089       NonMut        7.257903
   BA3109       NonMut        7.177617
   BA3114       NonMut        7.237197
   BA3418       NonMut        7.373963
   BA3245       NonMut        6.847192
   BA3085       NonMut        6.827340
   BA3128       NonMut        6.811458
   BA3423       NonMut        5.861329
   BA3173       NonMut        6.723551
   BA3171       NonMut        7.261503
   BA3277       NonMut        6.806662
   BA3210       NonMut        7.047751
   BA3157       NonMut        7.089743
   BA3433       NonMut        6.705313
   BA3322       NonMut        6.923035
   BA3374       NonMut        7.234708
   BA3450       NonMut        7.402001
   BA3167       NonMut        7.238057
   BA3269       NonMut        7.242184
   BA3110       NonMut        7.274627
   BA3156       NonMut        7.162995
   BA3226       NonMut        7.330738
   BA3421       NonMut        7.144593
   BA3232       NonMut        7.343708
   BA3289       NonMut        7.371035
   BA3430       NonMut        7.167222
   BA3145       NonMut        7.096413
   BA3399       NonMut        7.190650
   BA3449       NonMut        7.249042
   BA3384       NonMut        7.295153
   BA3427       NonMut        7.267613
   BA3163       NonMut        6.827340
   BA3158       NonMut        6.737459
   BA3436       NonMut        7.102352
   BA3154       NonMut        7.737327
   BA3162       NonMut        7.401089
   BA3352       NonMut        6.944901
   BA3084       NonMut        5.236025
   BA3149       NonMut        7.391391
   BA3169       NonMut        7.288998
   BA3180       NonMut        7.588796
   BA3255       NonMut        6.869035
   BA3438       NonMut        7.082279
   BA3345       NonMut        6.455999
   BA3403       NonMut        6.829082
   BA3431       NonMut        7.227055
   BA3341       NonMut        7.466792
   BA3191       NonMut        7.108514
   BA3197       NonMut        7.061661
   BA3448       NonMut        7.243903
   BA3453       NonMut        7.150786
   BA3406       NonMut        6.633834
   BA3308       NonMut        7.564367
   BA3186       NonMut        7.467841
   BA3447       NonMut        6.220206
   BA3116       NonMut        6.809028
   BA3185       NonMut        6.798747
   BA3094       NonMut        6.677802
   BA3318       NonMut        5.984674
   BA3216       NonMut        6.483172
   BA3332       NonMut        6.919182
   BA3214       NonMut        6.701940
   BA3099       NonMut        7.380621
   BA3141       NonMut        6.984837
   BA3373       NonMut        7.366237
   BA3319       NonMut        7.112888
   BA3328       NonMut        7.223796
   BA3339       NonMut        7.085982
   BA3240       NonMut        6.833445
   BA3142       NonMut        6.807281
   BA3333       NonMut        6.611175
   BA3381       NonMut        7.276367
   BA3290       NonMut        7.332510
   BA3207       NonMut        5.627160
   BA3296       NonMut        7.422024
   BA3305       NonMut        7.206357
   BA3434       NonMut        7.175957
   BA3189       NonMut        7.022003
   BA3264       NonMut        7.429288
   BA3329       NonMut        6.754835
   BA3417       NonMut        6.910045
   BA3367       NonMut        6.761840
   BA3225       NonMut        6.722961
   BA3183       NonMut        7.019176
   BA3222       NonMut        6.873371
   BA3139       NonMut        7.281720
   BA3397       NonMut        7.316655
   BA3311       NonMut        7.288998
   BA3422       NonMut        6.429540
   BA3228       NonMut        7.537348
   BA3213       NonMut        6.921747
   BA3270       NonMut        7.429288
   BA3415       NonMut        7.206357
   BA3324       NonMut        7.491461
   BA3194       NonMut        5.357096
   BA3335       NonMut        6.642471
   BA3199       NonMut        6.948816
   BA3326       NonMut        6.239268
   BA3285       NonMut        7.387562
   BA3297       NonMut        7.280861
   BA3227       NonMut        7.251762
   BA3394       NonMut        7.237197
   BA3412       NonMut        6.834644
   BA3293       NonMut        7.030483
   BA3250       NonMut        7.031263
   BA3177       NonMut        7.171168
   BA3315       NonMut        6.830290
   BA3182       NonMut        7.067365
   BA3260       NonMut        7.370029
   BA3369       NonMut        7.064480
   BA3078       NonMut        7.386670
   BA3386       NonMut        7.062348
   BA3445       NonMut        7.358635
   BA3452       NonMut        7.557548
   BA3176       NonMut        7.352023
   BA3258       NonMut        7.083681
   BA3295       NonMut        7.135136
   BA3283       NonMut        6.517089
   BA3390       NonMut        6.275582
   BA3275       NonMut        6.841624
   BA3136       NonMut        7.004235
   BA3190       NonMut        7.100070
   BA3234       NonMut        6.790387
   BA3087       NonMut        7.626832
   BA3454       NonMut        7.385603
   BA3302       NonMut        7.534054
   BA3117       NonMut        7.398294
   BA3083       NonMut        7.188918
   BA3266       NonMut        7.254403
   BA3175       NonMut        6.724663
   BA3268       NonMut        5.325945
   BA3229       NonMut        7.278057
   BA3353       NonMut        6.947581
   BA3312       NonMut        7.187317
   BA3119       NonMut        7.147647
   BA3138       NonMut        6.996534
   BA3219       NonMut        6.933559
   BA3388       NonMut        7.012713
   BA3357       NonMut        7.183986
   BA3351       NonMut        7.092649
   BA3208       NonMut        7.233904
   BA3310       NonMut        6.753097
   BA3200       NonMut        7.315791
   BA3325       NonMut        6.747855
   BA3146       NonMut        6.992443
   BA3211       NonMut        6.877881
   BA3237       NonMut        6.993098
   BA3130       NonMut        6.329599
   BA3376       NonMut        6.977949
   BA3137       NonMut        6.973186
   BA3300       NonMut        7.157984
   BA3375       NonMut        6.847765
   BA3249       NonMut        7.409002
   BA3385       NonMut        7.321216
   BA3242       NonMut        7.294317
   BA3446       NonMut        7.909508
   BA3416       NonMut        6.988215
   BA3123       NonMut        6.972507
