	TP53	NRAS
BA3013	7.35390839708449	7.14840411383597
BA2405	5.17133494272832	7.62437772428186
BA2735	4.91685437213902	6.57720688521491
BA2856	4.89451135230491	6.73222274372854
BA2377	6.1522898333018	8.40379071339591
BA2499	5.5722787954592	7.53734841909383
BA2463	5.50353774574014	7.67892900147032
BA3023	5.59326337181961	8.14513423086413
BA2095	7.28899814708616	7.42415546195164
BA2901	5.90353378741165	7.51084212363206
BA2275	5.9092894586333	6.82008128976274
BA2387	7.46363654414575	7.15951987646114
BA2962	7.25790347094091	7.45571345371651
BA2195	5.63436770223251	7.91426996698012
BA2688	5.56596083132182	7.53197491812839
BA2787	5.08010536468567	6.33418865159932
BA2420	7.47416545591404	6.6892157543699
BA2756	5.34186047637261	7.99068122497693
BA2122	4.6788765540465	6.96289154217268
BA2053	5.62530338833762	7.99573716734119
BA2080	5.36939086109841	7.97230357086309
BA2081	7.12814379144502	7.36910502551481
BA2354	6.91137383646976	7.02978091514104
BA3273	2.90245258168608	7.62806217739621
BA2893	7.04851156959908	6.89318073804479
BA2044	7.41702873174962	6.93558317816731
BA2489	5.07550246590364	7.98067391429632
BA2309	7.10380554442151	6.94490055523594
BA2720	5.55739491408236	7.46997411625783
BA2908	7.22867709025789	7.09047728148948
BA2054	5.68192875741287	6.40264148496757
BA2872	5.57710363902521	6.68070832768596
BA2526	5.85300580466056	8.33784249776874
BA2041	5.97482137009541	8.11666073243668
BA2464	6.87466227370096	7.20465709297985
BA2902	5.4000323249	8.16644533071452
BA2541	7.19482368325309	7.38062061343463
BA2143	6.22378350328208	8.0179995830141
BA2094	6.63707820351379	7.02554920178684
BA2769	5.11782405199582	7.6160759273921
BA2843	4.89378286978426	8.30909856685695
BA2592	6.14235074085009	7.69288267465993
BA2497	6.42575430557831	6.76359470107912
BA2718	7.56567805381962	7.03549223810054
BA2575	6.39073862378253	6.88614746987226
BA2096	6.5435898741168	7.41990509181254
BA2593	6.6263105848456	6.50152491798344
BA2791	5.76878858309535	7.91111348596979
BA2620	6.67392482770239	7.11817234858432
BA2629	7.49256176412129	7.06956103001791
BA2870	7.74666982029682	6.8958209414819
BA2423	5.05998896160971	7.76614073791854
BA2682	6.06213168198286	7.53974354156668
BA2276	6.23256384367835	7.27555120012057
BA2348	4.57477973250303	7.62437772428186
BA2709	6.1833788007571	7.76614073791854
BA2789	7.34082017175962	6.98275640527684
BA2694	5.24967382044831	7.69023500088856
BA2538	5.06527754778608	8.83992016748168
BA2583	6.37732984108365	7.67625068419832
BA2415	6.30695343234241	6.43590316276273
BA2722	5.21996006204262	7.16795764916514
BA2806	6.08621852980205	7.86375133258917
BA2221	5.73973435709854	7.1743962727285
BA3025	7.49042755149826	7.22705513643141
BA2514	5.00447988229452	8.12411003652868
BA2520	5.86536301251181	8.37409825216549
BA2441	7.44839655086442	7.66613976188412
BA2153	6.10234706288177	7.59565623174131
BA2479	5.29451713018208	7.35390839708449
BA2281	6.87788091401863	7.41702873174962
BA2657	6.68181953854303	6.85580435382138
BA2932	7.70582137825133	6.88034277223335
BA2123	6.39599982532293	7.99915514777274
BA2844	6.35627429889414	7.7071077714624
BA2660	6.84098754890722	6.98553956904008
BA2836	4.58619939617121	8.23473317956582
BA3027	4.57370858506955	7.64255001400601
BA2714	6.82188197814107	6.99377561399407
BA2139	6.24185782368877	7.00288610035202
BA2251	7.82261702082019	7.18812871773308
BA2952	7.1445927897216	6.85335943019892
BA2440	2.38194954250065	7.70064711748054
BA2036	6.85895592875875	6.801788717217
BA2828	5.93777047922961	7.44741351807287
BA2292	7.05721925341645	7.4576754868774
BA2410	4.87481382301932	8.11104544817006
BA2051	3.74222249554182	8.51934782702254
BA2532	4.89906895806818	7.47416545591404
BA2986	6.92111028015582	7.07770710445007
BA2494	4.8850340180221	7.99915514777274
