	NPM1	IDH2
BA2412	6.82309107200081	7.24218373520164
BA2334	8.94087956106744	8.12230223339654
BA2050	9.34744684153524	8.72731998420373
BA3230	8.78108213178214	8.51934782702254
BA2953	9.69817061599593	9.03786515454843
BA2481	8.58191208164573	8.41135949860071
BA2731	8.46185834013681	7.72809482559201
BA2294	9.25517667754352	8.69249597847146
BA2418	9.1410080593907	7.83704881770087
BA2816	9.14863087419242	8.27244095196937
BA2656	8.93082572022568	8.50412364911741
BA2814	7.63755645913212	8.7332018546727
BA2631	9.3561004357089	8.03722226484621
BA2023	8.3311533449718	7.84567146798846
BA2375	8.84941498844258	7.84127876561754
BA2485	8.78899864293157	8.52886682883828
BA2455	8.3156761580726	7.18644077892568
BA2025	8.56338303703764	8.672544374331
BA2636	9.10713869224013	8.25554427681065
BA2325	7.29687122589928	7.05796014084047
BA2169	8.51934782702254	8.85577669200061
BA2156	9.48238177689826	8.78108213178214
BA2511	8.46430959418229	7.46784096415085
BA2939	9.41350421836705	7.72545959564587
BA2168	9.20300948929151	8.29820901257083
BA2505	9.09230819306279	8.14705635633251
BA2860	8.97485330936457	8.42321613548815
BA2707	9.12210512882866	8.66689198102969
BA2871	8.66689198102969	7.80682500789732
BA2655	9.36916799017741	8.7420670822246
BA2227	9.42251934116338	8.0301567645062
BA2125	7.76334677298606	8.3695120975799
BA2523	9.33455230246716	8.58992566833602
BA2603	8.99558616821901	7.97230357086309
BA2808	8.70112769787832	8.20213208675208
BA2282	7.26503778677364	7.09119041085949
BA2482	9.04501990946176	8.43037965011906
BA2812	8.81487669872437	8.25764420926654
BA2822	7.14998539597838	9.45324250904435
BA2594	8.42798766039968	8.40194775982719
BA2747	9.35176787188011	8.55813210635661
BA2561	9.09970659968869	8.07789379739417
BA2567	7.54085820588458	6.56478809528508
BA2906	8.80250309714617	8.95099667095566
BA2956	8.11104544817006	7.83985748399556
BA2474	9.08127310626888	7.82988769642495
BA2737	8.02685700006077	8.0301567645062
BA2110	7.71347289714959	7.17595663951225
BA2992	9.18338030789918	8.37180321609369
BA2220	9.00955709168753	8.79022656584331
BA2772	9.42251934116338	8.22445433533228
BA2935	8.55029123602985	8.03369173116136
BA2260	8.75098362594822	8.23267071257109
BA2676	8.7361512573159	8.5555137585582
BA2948	7.55189787670547	7.3014086607396
BA2524	9.2592593958878	8.30037965468589
BA2811	8.83676787171411	8.49156043324924
BA2540	8.86857724833819	7.64636707538027
BA2928	8.7214605815193	9.16398396797258
BA2302	9.38234175781362	8.06706072393759
BA2595	9.09230819306279	8.86857724833819
BA2792	8.66689198102969	8.38795127420314
BA2651	9.17948259034573	7.83268389248944
BA2619	7.88191833711993	8.57129520837751
BA3013	9.54457000922792	9.13342062895717
BA2405	9.64008823387741	8.57394218930808
BA2735	9.08494318011795	8.01965582601105
BA2856	7.56206988956539	6.83661488155882
BA2377	8.74389874448259	8.70296361717243
BA2499	9.66095938066438	8.30909856685695
BA2463	8.4179334910987	8.46370355203629
BA3023	9.17948259034573	8.57129520837751
BA2095	9.13342062895717	9.33883912107995
BA2901	8.51425498508966	7.69288267465993
BA2275	6.9401836518602	8.24717893447311
BA2387	8.68106286594684	7.88494695067266
BA2962	9.73079295605488	8.59529250724368
BA2195	8.69249597847146	8.20012237793382
BA2688	8.77262692606308	7.81385914418798
BA2787	6.35352478320916	6.53792906948021
BA2420	9.09970659968869	8.65006116973985
BA2756	9.56420444046175	8.77804587995587
BA2122	7.70840071464408	7.22786001580346
BA2053	9.16784487350203	8.13938594647296
