	FLT3	RUNX1
BA2405	8.96800104667789	7.79800939146032
BA2735	9.10341841676742	7.74951233053604
BA2856	5.75302384911337	6.69192414230504
BA2377	7.92215119859177	7.60044547310861
BA2499	7.49358396361658	7.80094268898657
BA2463	9.85235783310065	8.61880009680474
BA3023	7.31397253852267	8.07789379739417
BA2095	8.80867768640892	8.85577669200061
BA2901	7.36623727973933	7.34547705030654
BA2275	6.23576326993081	7.80817251236376
BA2387	9.20300948929151	8.43037965011906
BA2962	9.91143332054624	8.00271116464237
BA2195	6.65130744059523	7.53093612416627
BA2688	5.68948586565832	6.27332825884915
BA2787	7.05061628699762	5.82191269814631
BA2420	10.2913775804187	8.79635277497105
BA2756	8.12418859250955	7.3875616099495
BA2122	3.73646349943155	7.27378385953679
BA2053	7.12590219224429	8.23886821722062
BA2080	8.33560901482561	6.46633469347968
BA2081	8.86857724833819	8.83048212173684
BA2354	9.49346920759786	6.98553956904008
BA3273	8.61703204481685	4.90986474335253
BA2893	9.05220627117217	8.69824500910271
BA2044	9.18338030789918	8.37180321609369
BA2489	5.75528821055756	7.10534081557561
BA2309	4.75484190831669	7.31758513982701
BA2720	4.08116949406361	6.23576326993081
BA2908	9.73952391057151	7.69790613813162
BA2054	7.60989112051761	7.42090370210596
BA2872	5.75528821055756	6.4108151402329
BA2526	8.46922505155083	7.32779530563549
BA2041	6.92898560318184	7.68775219309565
BA2464	8.83048212173684	8.04060780611373
BA2902	8.35358316301659	8.36494157515656
BA2541	7.82406690467398	6.79640967556144
BA2143	6.53889895494815	7.40707286933197
BA2094	10.639379239193	8.24926512843891
BA2769	8.12986534537924	6.96352997566574
BA2843	9.31328611186612	1.29229534870093
BA2592	7.58177680428358	7.59808663804993
BA2497	7.52879493976561	7.35957852119331
BA2718	7.574849932275	6.84657434431718
BA2575	7.10851364264035	7.07486831392374
BA2096	7.74666982029682	7.48594354331146
BA2593	8.19393590095693	8.74389874448259
BA2791	8.4424022836884	8.54249270039127
BA2620	8.84307877151568	7.11216085325929
BA2629	10.7038723777592	8.3156761580726
BA2870	10.8192493812712	8.28526081080175
BA2423	7.02415111976065	6.69080762366511
BA2682	9.37793858616158	7.75780436658957
BA2276	5.93572487152612	7.56321071069528
BA2348	4.97069644629257	6.2114515075537
BA2709	6.77544790931264	7.54085820588458
BA2789	9.79245962144758	8.67821802831458
BA2694	8.6472743085318	8.34681429629083
BA2538	9.13720994130471	7.89563066633541
BA2583	9.9941844593607	8.80867768640892
BA2415	5.00864373238871	6.04734642903678
BA2722	6.4238257457666	8.33784249776874
BA2806	9.08127310626888	8.94761722776196
BA2221	4.06120523744264	6.1921407741856
BA3025	7.04562502354572	6.29315264064962
BA2514	7.75227162313381	7.03986452617139
BA2520	8.1981158996604	8.3311533449718
BA2441	9.33455230246716	6.73745939965324
BA2153	9.89297540900361	8.06706072393759
BA2479	5.8733548574054	5.70908891657494
BA2281	8.8525926437112	8.68391306436784
BA2657	5.86861161809713	7.77846043065093
BA2932	10.061177091926	8.3156761580726
BA2123	6.10872354813756	8.0760787079227
BA2844	7.07486831392374	6.30418081628279
BA2660	8.61423212805534	7.95104961478815
BA2836	9.38234175781362	7.61949698331246
BA3027	3.93384904957346	5.78731556681433
BA2714	9.4045391740165	7.93658206656699
BA2139	8.12230223339654	6.4489544024993
BA2251	6.48364202900439	6.1556592421586
BA2952	9.4917929010063	7.40406179513594
BA2440	6.23442968340786	7.04775148018528
BA2036	10.0007468429699	9.25517667754352
BA2828	7.5932544466496	7.22543117773692
BA2292	2.71814995189887	6.80845562026412
BA2410	9.1410080593907	8.52190108216259
BA2051	6.28007937385132	7.1956195388029
BA2532	7.15158559200513	7.01060112681321
BA2986	9.93012293296997	7.5075244144456
BA2494	1.62077265501119	7.25790347094091
BA2515	6.30650779394135	6.48803668934059
BA2748	6.71554173603585	6.5808607051832
BA2970	6.56119717042577	6.1821095995856
BA2622	8.25135474465914	8.03722226484621
BA2839	6.91793209354363	8.91090509269608
