	FLT3	IDH1
BA2956	8.44966638628301	4.93680420181051
BA2474	9.12586826213153	6.41993290039897
BA2737	11.5238128563748	7.00490622738367
BA2110	8.15671254170946	6.60579006500373
BA2992	7.48695721637732	5.29873886453286
BA2220	4.48295485202788	5.88005273032646
BA2772	8.89122942781574	4.20752353675978
BA2935	8.45209623715645	5.76293182295601
BA2260	8.34007975821985	6.30695343234241
BA2676	6.3078817611491	6.47376016789819
BA2948	5.20013137153335	4.45829690708788
BA2524	7.95765939482996	4.71338041148762
BA2811	8.89122942781574	5.95983280142242
BA2540	10.332335723606	5.10108468850577
BA2928	9.62975620855742	6.62899851308068
BA2302	8.86857724833819	4.35980493218316
BA2595	8.59260663428802	4.7899749730526
BA2792	7.49672370749375	5.62043017440298
BA2651	8.71853926395486	4.51902825678144
BA2619	8.08701091285537	6.57921927462639
BA3013	8.2618544484033	6.23486418682469
BA2405	8.96800104667789	4.63387310843381
BA2735	9.10341841676742	6.01046707595227
BA2856	5.75302384911337	4.64521147205465
BA2377	7.92215119859177	4.72354417544082
BA2499	7.49358396361658	3.58175052756526
BA2463	9.85235783310065	7.01129464656936
BA3023	7.31397253852267	3.85081185407147
BA2095	8.80867768640892	6.09645228197541
BA2901	7.36623727973933	5.0241682886734
BA2275	6.23576326993081	6.14149524736616
BA2387	9.20300948929151	6.07906325231323
BA2962	9.91143332054624	7.45670028367566
BA2195	6.65130744059523	4.08320598972476
BA2688	5.68948586565832	3.23858596558685
BA2787	7.05061628699762	5.66936167999459
BA2420	10.2913775804187	5.91360220597683
BA2756	8.12418859250955	4.39589281624757
BA2122	3.73646349943155	3.22968112507528
BA2053	7.12590219224429	5.25892746258291
BA2080	8.33560901482561	4.29267969728308
BA2081	8.86857724833819	7.18078818168097
BA2354	9.49346920759786	6.26203648745747
BA3273	8.61703204481685	4.10948809536277
BA2893	9.05220627117217	5.61817308697624
BA2044	9.18338030789918	6.28823715765654
BA2489	5.75528821055756	3.22332800972844
BA2309	4.75484190831669	5.45489161608543
BA2720	4.08116949406361	3.85948948082755
BA2908	9.73952391057151	6.09727224274201
BA2054	7.60989112051761	6.44947039282618
BA2872	5.75528821055756	5.47433300541024
BA2526	8.46922505155083	3.54989691248403
BA2041	6.92898560318184	3.74848704611698
BA2464	8.83048212173684	6.04982213026608
BA2902	8.35358316301659	5.08617132532278
BA2541	7.82406690467398	6.29556241973791
BA2143	6.53889895494815	5.1308809152012
BA2094	10.639379239193	7.53511002571526
BA2769	8.12986534537924	4.72632902528561
BA2843	9.31328611186612	4.576912820314
BA2592	7.58177680428358	4.04795438154792
BA2497	7.52879493976561	7.27462693268534
BA2718	7.574849932275	6.75597489483719
BA2575	7.10851364264035	7.35298985161002
BA2096	7.74666982029682	5.90476239808708
BA2593	8.19393590095693	7.86375133258917
BA2791	8.4424022836884	3.89144729146833
BA2620	8.84307877151568	7.07695814218809
BA2629	10.7038723777592	6.1725191860544
BA2870	10.8192493812712	7.69160326863138
BA2423	7.02415111976065	5.07164095305392
BA2682	9.37793858616158	5.90076617867574
BA2276	5.93572487152612	4.91022290966011
BA2348	4.97069644629257	4.81265842584299
BA2709	6.77544790931264	6.54150806703429
BA2789	9.79245962144758	5.91554817043997
BA2694	8.6472743085318	4.4543011664344
BA2538	9.13720994130471	4.37307759807115
BA2583	9.9941844593607	5.2008194787507
BA2415	5.00864373238871	6.07987511764245
BA2722	6.4238257457666	4.94450171912077
BA2806	9.08127310626888	6.08879387607679
BA2221	4.06120523744264	5.57935496877716
BA3025	7.04562502354572	5.87927912302444
BA2514	7.75227162313381	4.5993645555515
BA2520	8.1981158996604	4.59723676314568
BA2441	9.33455230246716	5.83369852515391
BA2153	9.89297540900361	4.98513676810276
BA2479	5.8733548574054	2.61422648503115
BA2281	8.8525926437112	5.98958134739074
BA2657	5.86861161809713	6.58623483162294
BA2932	10.061177091926	7.48594354331146
BA2123	6.10872354813756	4.52334899104318
BA2844	7.07486831392374	5.43657703696705
BA2660	8.61423212805534	6.80545390529169
BA2836	9.38234175781362	4.62427313618414
BA3027	3.93384904957346	4.19644815920318
