	NPM1	SRP72
BA2595	9.09230819306279	8.14129903318969
BA2792	8.66689198102969	7.550843282623
BA2651	9.17948259034573	8.30473182450184
BA2619	7.88191833711993	7.09423229403913
BA3013	9.54457000922792	8.12041880838799
BA2405	9.64008823387741	7.75371580805874
BA2735	9.08494318011795	7.42090370210596
BA2856	7.56206988956539	6.58991080721251
BA2377	8.74389874448259	7.48695721637732
BA2499	9.66095938066438	8.14513423086413
BA2463	8.4179334910987	6.65901439005133
BA3023	9.17948259034573	7.77015373984418
BA2095	9.13342062895717	8.08335570616425
BA2901	8.51425498508966	7.59214282448563
BA2275	6.9401836518602	7.81101053195418
BA2387	8.68106286594684	8.05115312612603
BA2962	9.73079295605488	8.41846114844672
BA2195	8.69249597847146	7.60044547310861
BA2688	8.77262692606308	7.39540604135448
BA2787	6.35352478320916	6.57509033573893
BA2420	9.09970659968869	7.6685963483501
BA2756	9.56420444046175	8.0760787079227
BA2122	7.70840071464408	6.60792383481337
BA2053	9.16784487350203	7.78542487009475
BA2080	8.92748837970555	7.77581260088951
BA2081	9.00255657247606	7.72545959564587
BA2354	9.30238239860393	7.76200686781066
BA3273	7.24904224136933	9.01141443746275
BA2893	9.50601427714714	7.58759859001841
BA2044	8.43758065182973	7.27982858914582
BA2489	9.15628939970288	7.86087718753597
BA2309	9.05942450247106	7.49901182668185
BA2720	7.7605970351598	7.1940059259717
BA2908	9.83621907237271	7.86375133258917
BA2054	8.54508752883457	7.52879493976561
BA2872	8.00271116464237	6.97731252665637
BA2526	9.09600320401444	8.14898150925669
BA2041	9.02011485988608	7.72277870826456
BA2464	9.07395764638915	7.84734534450722
BA2902	8.82734862624236	7.54970729199318
BA2541	9.18338030789918	8.1981158996604
BA2143	7.22867709025789	7.27378385953679
BA2094	7.79956921933088	7.18235291359456
BA2769	8.904319577833	7.40707286933197
BA2843	8.88148184246882	7.66253850261184
BA2592	9.57909169555586	7.76200686781066
BA2497	8.09067732991193	7.4382687261571
BA2718	8.61151153389318	7.37675245327076
BA2575	7.3614587281193	6.80425051325387
BA2096	9.4000752436972	7.55633666761795
BA2593	10.3090915070605	6.57974013566299
BA2791	9.14481502348153	8.14129903318969
BA2620	8.61695773628636	7.58415033094325
BA2629	9.4000752436972	7.46894970580743
BA2870	9.26745559419095	7.73994866868774
BA2423	7.73861349646242	7.43931413643912
BA2682	9.14863087419242	7.79521409988635
BA2276	8.91090509269608	7.76200686781066
BA2348	7.52987979374564	7.11817234858432
BA2709	8.81177412986094	7.48815372498195
BA2789	9.36480042798147	7.54625616208849
BA2694	8.92748837970555	7.37396310701658
BA2538	8.40429460371975	8.03884116383771
BA2583	9.44070228005406	8.29820901257083
BA2415	7.67493502317828	6.60209690951209
BA2722	7.0623479587219	7.37967634115988
BA2806	9.01306871894599	8.40664550150058
BA2221	7.99413751864958	7.20800173217813
BA3025	9.2389471182711	7.7071077714624
BA2514	8.62153057515291	7.62320575204897
BA2520	9.08127310626888	7.91895915389096
BA2441	7.40108920011618	8.07064998624987
BA2153	9.57909169555586	8.50664971851981
BA2479	8.22832881693221	6.99719018449603
BA2281	9.01658796485945	7.78816074108162
BA2657	8.33560901482561	7.07695814218809
BA2932	9.12210512882866	7.83130382680857
BA2123	9.57909169555586	8.12418859250955
BA2844	9.22687989289351	7.32679901700122
BA2660	9.06304565250042	7.32779530563549
BA2836	8.74800571415782	7.53197491812839
BA3027	7.63041516939983	7.06885426902192
BA2714	8.89122942781574	7.32583087724775
BA2139	6.80299244523417	7.1445927897216
BA2251	8.32671267592458	7.31758513982701
BA2952	8.16254296358662	7.10612705087253
BA2440	8.39493145233583	7.6577402686387
BA2036	8.75695672842528	7.1743962727285
BA2828	8.09804401257278	7.12964479628402
BA2292	8.98173476670244	7.45571345371651
BA2410	9.34313727945847	7.40804987020109
BA2051	7.46363654414575	7.38666974161584
BA2532	7.45571345371651	7.65148276489013
BA2986	8.95099667095566	7.53625126683679
BA2494	8.39027400222105	7.41702873174962
BA2515	8.66407371953991	7.54733361982974
BA2748	9.33883912107995	7.64895583047878
BA2970	8.8589671548512	7.32217874930828
BA2622	8.65006116973985	7.28989199463087
BA2839	8.72438748273975	7.617186143553
BA2052	9.10713869224013	7.54512561180818
BA3011	8.50277388292747	7.52776715607633
BA2868	9.00255657247606	7.43426786956565
BA2510	9.01658796485945	8.32228693534529
BA2065	9.20696376307392	7.53405377993628
BA2691	8.11104544817006	7.139939970706
BA2374	8.21222936163239	7.73595323737682
BA2804	8.8879736022598	7.8894951557827
BA2670	7.93824432889201	7.04704814373678
BA2675	9.08494318011795	7.74536502725477
BA2589	8.38563253120242	7.23805703314362
BA2031	8.87824586229709	7.09927444538542
BA2198	9.39118419839355	7.71215406681609
BA2066	8.28097335559112	7.73462168625585
BA2344	9.57411368730524	8.01457218763256
BA2459	9.38404554334867	7.71600709198136
