	ID_sample	TypeMutation	ExpressionGene
217	BA2561	mut30	6.72062167573975
218	BA2563	mut30	7.42825345365406
219	BA2570	mut30	5.92793175730426
220	BA2575	mut30	6.39073862378253
221	BA2577	mut30	7.47732145799094
222	BA2579	mut30	6.39599982532293
223	BA2583	mut30	6.37732984108365
224	BA2584	mut30	6.88364306076419
225	BA2587	mut30	6.82430487390793
226	BA2588	mut30	6.60688950527526
227	BA2589	mut30	5.1329891862807
228	BA2592	mut30	6.14235074085009
229	BA2597	mut30	5.30025672574144
230	BA2600	mut30	5.11328125236518
231	BA2603	mut30	6.97110220501606
232	BA2618	mut30	6.62357481456438
233	BA2619	mut30	6.36467185423724
234	BA2620	mut30	6.67392482770239
235	BA2622	mut30	6.51970766408759
236	BA2623	mut30	7.2808607611199
237	BA2629	mut30	7.49256176412129
238	BA2631	mut30	7.21053357648558
239	BA2634	mut30	5.89802625126527
240	BA2636	mut30	5.63282770326011
241	BA2644	mut30	6.82612058067876
242	BA2645	mut30	4.47755440955033
243	BA2646	mut30	6.61380571566026
244	BA2649	mut30	7.30861526987379
245	BA2651	mut30	5.03323587286023
246	BA2653	mut30	6.64966424428309
247	BA2655	mut30	6.81265459274061
248	BA2656	mut30	6.23081198982986
249	BA2657	mut30	6.68181953854303
250	BA2658	mut30	6.51657057172327
251	BA2659	mut30	6.22243678568209
252	BA2660	mut30	6.84098754890722
253	BA2662	mut30	7.00423488076259
254	BA2663	mut30	4.59723676314568
255	BA2667	mut30	7.16215175411855
256	BA2670	mut30	5.49867482524586
257	BA2674	mut30	6.61328782678973
258	BA2675	mut30	7.10235206017353
259	BA2676	mut30	6.32546109149907
260	BA2677	mut30	6.55027156269161
261	BA2682	mut30	6.06213168198286
262	BA2685	mut30	6.06637986410425
263	BA2688	mut30	5.56596083132182
264	BA2691	mut30	6.06843510757967
265	BA2694	mut30	5.24967382044831
266	BA2695	mut30	5.06034106840668
267	BA2697	mut30	5.66167475958567
268	BA2701	mut30	4.6377523259586
269	BA2704	mut30	7.36910502551481
270	BA2705	mut30	5.01042178805716
271	BA2707	mut30	5.67887021391384
272	BA2712	mut30	5.93038956442244
273	BA2715	mut30	4.54449196266661
274	BA2718	mut30	7.56567805381962
275	BA2720	mut30	5.55739491408236
276	BA2721	mut30	6.90623565218771
277	BA2724	mut30	4.95436820669726
278	BA2726	mut30	6.04401665671066
279	BA2727	mut30	7.19738153999511
280	BA2728	mut30	6.76656262392125
281	BA2731	mut30	5.43769371500229
282	BA2733	mut30	5.01531695363561
283	BA2735	mut30	4.91685437213902
284	BA2737	mut30	5.1731127627033
285	BA2742	mut30	6.87718695252014
286	BA2744	mut30	7.52657913903788
287	BA2746	mut30	5.85501990072082
288	BA2747	mut30	6.91069984449294
289	BA2748	mut30	7.40707286933197
290	BA2751	mut30	7.22625304922136
291	BA2756	mut30	5.34186047637261
292	BA2758	mut30	6.03193635166747
293	BA2760	mut30	5.41465485346035
294	BA2762	mut30	5.58914523241343
295	BA2764	mut30	6.17423728477739
296	BA2765	mut30	5.58306894890271
297	BA2769	mut30	5.11782405199582
298	BA2772	mut30	5.69028030333394
299	BA2775	mut30	6.54456958822718
300	BA2776	mut30	8.25344779136567
301	BA2778	mut30	6.40454724548096
302	BA2782	mut30	6.1881494364125
303	BA2787	mut30	5.08010536468567
304	BA2789	mut30	7.34082017175962
305	BA2791	mut30	5.76878858309535
306	BA2792	mut30	6.54042498941119
307	BA2798	mut30	5.2557008751781
308	BA2801	mut30	4.20521607487653
309	BA2802	mut30	5.98097884801574
310	BA2804	mut30	6.34503333401511
311	BA2806	mut30	6.08621852980205
312	BA2809	mut30	6.47426873472503
313	BA2811	mut30	6.82008128976274
314	BA2812	mut30	6.40314188601748
315	BA2813	mut30	6.42812418967041
316	BA2814	mut30	6.732801148639
317	BA2816	mut30	6.35951832125277
318	BA2817	mut30	4.56799936889978
319	BA2820	mut30	7.01338554790523
320	BA2821	mut30	7.09853964665219
321	BA2822	mut30	6.13119942059496
322	BA2824	mut30	7.99573716734119
323	BA2828	mut30	5.93777047922961
324	BA2829	mut30	6.66836924971821
325	BA2830	mut30	6.08237851607355
326	BA2832	mut30	6.54255345963774
327	BA2837	mut30	6.23620830247888
328	BA2839	mut30	4.57050598081279
329	BA2840	mut30	5.99152342299614
330	BA2842	mut30	4.35426803475998
331	BA2843	mut30	4.89378286978426
332	BA2844	mut30	6.35627429889414
333	BA2846	mut30	6.09387139945137
334	BA2850	mut30	5.81839607751016
335	BA2851	mut30	6.6656439229699
336	BA2852	mut30	4.49309800823268
337	BA2855	mut30	4.90535576746464
338	BA2856	mut30	4.89451135230491
339	BA2858	mut30	6.16992972400798
340	BA2860	mut30	6.30187774864901
341	BA2861	mut30	7.2179085684236
342	BA2865	mut30	7.34082017175962
343	BA2866	mut30	6.72932018001604
344	BA2867	mut30	5.44461485443026
345	BA2868	mut30	6.99309781087009
346	BA2870	mut30	7.74666982029682
347	BA2871	mut30	3.82296440324922
348	BA2872	mut30	5.57710363902521
349	BA2876	mut30	4.87307091837154
350	BA2879	mut30	4.0915518275327
351	BA2880	mut30	5.89840678151491
352	BA2882	mut30	6.00134650129498
353	BA2883	mut30	4.43894159347348
354	BA2885	mut30	6.59569193185131
355	BA2887	mut30	6.98275640527684
356	BA2893	mut30	7.04851156959908
357	BA2901	mut30	5.90353378741165
358	BA2902	mut30	5.4000323249
359	BA2904	mut30	6.44227342376241
360	BA2905	mut30	5.49361387353109
361	BA2906	mut30	7.19145743010941
362	BA2908	mut30	7.22867709025789
363	BA2909	mut30	6.00760401810435
364	BA2910	mut30	6.65242333740906
365	BA2911	mut30	6.6639864599992
366	BA2914	mut30	6.70250395591763
367	BA2921	mut30	5.26066257347525
368	BA2922	mut30	7.58415033094325
369	BA2923	mut30	6.41993290039897
370	BA2926	mut30	7.05061628699762
371	BA2928	mut30	7.62437772428186
372	BA2930	mut30	6.38550593619779
373	BA2932	mut30	7.70582137825133
374	BA2934	mut30	4.63280713637761
375	BA2935	mut30	5.80651617633479
376	BA2937	mut30	6.88364306076419
377	BA2939	mut30	5.4256501409614
378	BA2944	mut30	7.40609048790591
379	BA2948	mut30	4.29566916323682
380	BA2950	mut30	6.24055068924258
381	BA2951	mut30	6.99377561399407
382	BA2952	mut30	7.1445927897216
383	BA2953	mut30	5.27249782330272
384	BA2955	mut30	6.52630500155159
385	BA2962	mut30	7.25790347094091
386	BA2970	mut30	5.24755295562951
387	BA2976	mut30	6.4673102312229
388	BA2978	mut30	6.1725191860544
389	BA2981	mut30	3.91918119992111
390	BA2984	mut30	6.40360502181603
391	BA2986	mut30	6.92111028015582
392	BA2989	mut30	5.61586637721502
393	BA2993	mut30	5.57935496877716
394	BA2994	mut30	6.53744053114805
395	BA2995	mut30	5.64653817010519
396	BA2999	mut30	6.7478553015081
397	BA3001	mut30	7.67233847579442
398	BA3002	mut30	6.79581543973709
399	BA3004	mut30	7.27718305881569
400	BA3006	mut30	7.35202275514424
401	BA3010	mut30	6.40785243829132
402	BA3011	mut30	5.49620333322403
403	BA3013	mut30	7.35390839708449
404	BA3023	mut30	5.59326337181961
405	BA3025	mut30	7.49042755149826
406	BA3027	mut30	4.57370858506955
407	BA3029	mut30	4.51543236159046
408	BA3030	mut30	6.59519386649706
409	BA3038	mut30	6.43046914091516
410	BA3040	mut30	7.4372988989966
411	BA2040	mut30	5.39533160012503
412	BA2160	mut30	7.44951411714195
413	BA2303	mut30	6.44374763893835
414	BA2353	mut30	7.11216085325929
415	BA2516	mut30	6.98890006339199
416	BA2590	mut30	7.0168789681798
417	BA2924	mut30	5.05963791860408
418	BA2971	mut30	4.61929846930604
419	BA3036	mut30	6.44227342376241
420	BA3078	mut30	7.12266775163133
421	BA3079	mut30	4.25793262725042
422	BA3083	mut30	6.26033254809805
423	BA3084	mut30	7.29872623007905
424	BA3085	mut30	6.47523792980687
425	BA3087	mut30	7.42202383501609
